id,"name","description",skill_id,"deleted_at","created_at","updated_at",min_budget,max_budget
245,"Minor Building Structure Works"," ",9,NULL,"2015-01-19 03:26:36","2015-03-25 08:32:26",1000,8999
246,"Major Building Structure Works"," ",9,NULL,"2015-01-19 03:26:36","2015-03-25 08:32:26",5000,12999
247,"Epoxy Painting Services"," ",9,NULL,"2015-01-19 03:26:36","2015-03-25 08:32:26",300,5999
248,"1 Room Marble Floor Polishing"," ",7,NULL,"2015-01-19 03:26:36","2015-03-25 08:32:26",300,5999
249,"1-2 Rooms Parquet Floor Supply and Fit"," ",7,NULL,"2015-01-19 03:26:36","2015-03-25 08:32:26",800,7999
250,"1-2 Rooms Parquet Floor Installation"," ",7,NULL,"2015-01-19 03:26:36","2015-03-25 08:32:26",300,5999
251,"Parquet Flooring Refinishing"," ",7,NULL,"2015-01-19 03:26:36","2015-03-25 08:32:26",200,5999
252,"Repair Laminate or Wood Flooring"," ",7,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:26",300,5999
253,"Carpet Installation Labour Only"," ",7,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:26",100,4999
254,"Carpet Installation Supply and Fit"," ",7,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:26",300,5999
255,"Spa & Jacuzzi Pump Replacement"," ",15,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:26",200,5999
256,"Spa & Jacuzzi  Pump Repair"," ",15,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:26",100,4999
257,"Spa & Jacuzzi Maintenance"," ",15,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:26",100,4999
258,"Swimming Pool Cleaning Service"," ",15,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:26",100,4999
259,"Water Feature Pump Replacement"," ",15,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:26",100,4999
260,"Water Feature Pump Repair"," ",15,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:26",100,4999
261,"Water Feature Pump Maintenance"," ",15,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:26",100,4999
262,"Mounting of Cloths Dryer"," ",18,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:27",100,4999
263,"Install Wall or Ceiling Fan"," ",18,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:27",100,4999
264,"Install TV Mounting"," ",18,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:27",100,4999
265,"DBSS Full Renovation"," ",13,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:27",10000,59999
266,"2 room (including accessories)"," ",13,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:27",15000,1000000
267,"3 room (including accessories)"," ",13,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:27",25000,1000000
268,"4 room (including accessories)"," ",13,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:27",35000,1000000
269,"5 room (including accessories)"," ",13,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:27",45000,1000000
270,"Whole Home Window Installation"," ",17,NULL,"2015-01-19 03:26:37","2015-03-25 08:32:27",1000,8999
