code,name,amount,job_id,contractor_id,account_id
KJ-IFQ7LPV,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-ITQGJQP,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-IWAYFEH,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-IYIJDFX,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-JILPWYO,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-JYSP9GU,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-MCUOGRP,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-MG4A7UD,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-MOXGPCQ,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-NASQWZY,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-NJ8HORW,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-NLMYOAL,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-O0UEJRQ,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-OR5U4G1,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-P31S0HZ,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-PC8PPYA,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-PT8KYOR,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-QXE50VC,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-SAIWJN1,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-SCHJAO0,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-SEQAIHG,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-SKD6SAN,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-SPJEJ6Z,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-U1CH5ZB,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-X4AFTVF,$20 off with minimum $100 purchase (Delivery Waived),20,
