code,name,amount,job_id,contractor_id,account_id
KJ-0CUK7SF,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-0JKQTL0,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-3PXW7UG,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-4AV09QQ,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-5LXSRJU,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-5TO7VW3,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-6AHMJW2,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-6AZ5P0K,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-6LC2G1E,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-7G9IBJF,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-7IID6KC,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-8SL15VB,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-964AHEA,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-DDNNRV2,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-EGOHICG,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-EKTLUSJ,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-ENZKDF8,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-FAHSIUB,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-FGFHHPU,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-GJY7FKO,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-GUNLDRK,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-GUZWMT9,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-HXBC477,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-JNVXBQY,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-JXOD4E8,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-JYUK8R6,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-KLQGWDE,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-KUQ4VSU,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-LDLGOYX,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-LKL5CK8,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-M4NDZLB,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-MQPAMGY,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-N3ZAKGC,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-NH9HVW6,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-NUFT8UP,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-PFWC9MM,$10 off with minimum $50 purchase (Delivery Waived),10,
